datetime,temperature_2m,relativehumidity_2m,precipitation,weathercode,windspeed_10m,weather_condition
2025-08-27 00:00:00+07:00,25.6,90,0.0,2,5.3,Partly cloudy
2025-08-27 00:15:00+07:00,25.6,90,0.0,2,5.3,Partly cloudy
2025-08-27 00:30:00+07:00,25.6,91,0.0,2,5.3,Partly cloudy
2025-08-27 00:45:00+07:00,25.6,91,0.0,2,5.0,Partly cloudy
2025-08-27 01:00:00+07:00,25.5,91,0.0,2,5.0,Partly cloudy
2025-08-27 01:15:00+07:00,25.5,91,0.0,2,5.0,Partly cloudy
2025-08-27 01:30:00+07:00,25.5,92,0.0,2,5.0,Partly cloudy
2025-08-27 01:45:00+07:00,25.4,92,0.0,2,4.7,Partly cloudy
2025-08-27 02:00:00+07:00,25.4,92,0.0,2,4.7,Partly cloudy
2025-08-27 02:15:00+07:00,25.3,92,0.0,2,4.7,Partly cloudy
2025-08-27 02:30:00+07:00,25.2,93,0.0,2,4.4,Partly cloudy
2025-08-27 02:45:00+07:00,25.2,93,0.0,2,4.3,Partly cloudy
2025-08-27 03:00:00+07:00,25.1,93,0.0,2,4.3,Partly cloudy
2025-08-27 03:15:00+07:00,25.1,93,0.0,2,4.3,Partly cloudy
2025-08-27 03:30:00+07:00,25.1,94,0.0,2,4.1,Partly cloudy
2025-08-27 03:45:00+07:00,25.0,94,0.0,2,4.3,Partly cloudy
2025-08-27 04:00:00+07:00,25.0,94,0.0,2,4.3,Partly cloudy
2025-08-27 04:15:00+07:00,25.0,94,0.0,2,4.3,Partly cloudy
2025-08-27 04:30:00+07:00,25.0,95,0.0,2,4.6,Partly cloudy
2025-08-27 04:45:00+07:00,24.9,95,0.0,2,4.9,Partly cloudy
2025-08-27 05:00:00+07:00,24.9,95,0.0,2,4.9,Partly cloudy
2025-08-27 05:15:00+07:00,24.8,95,0.0,2,4.9,Partly cloudy
2025-08-27 05:30:00+07:00,24.8,95,0.0,2,5.2,Partly cloudy
2025-08-27 05:45:00+07:00,24.8,95,0.0,2,5.4,Partly cloudy
2025-08-27 06:00:00+07:00,24.8,95,0.0,2,5.4,Partly cloudy
2025-08-27 06:15:00+07:00,25.0,95,0.0,3,5.4,Overcast
2025-08-27 06:30:00+07:00,25.2,94,0.0,3,5.7,Overcast
2025-08-27 06:45:00+07:00,25.5,94,0.0,3,5.9,Overcast
2025-08-27 07:00:00+07:00,25.8,93,0.0,3,6.4,Overcast
2025-08-27 07:15:00+07:00,26.1,92,0.0,3,7.4,Overcast
2025-08-27 07:30:00+07:00,26.6,90,0.0,3,8.9,Overcast
2025-08-27 07:45:00+07:00,27.0,88,0.0,3,10.2,Overcast
2025-08-27 08:00:00+07:00,27.4,86,0.0,3,11.6,Overcast
2025-08-27 08:15:00+07:00,27.8,84,0.0,3,12.5,Overcast
2025-08-27 08:30:00+07:00,28.1,82,0.0,3,13.1,Overcast
2025-08-27 08:45:00+07:00,28.5,80,0.0,3,13.5,Overcast
2025-08-27 09:00:00+07:00,28.8,78,0.0,3,13.7,Overcast
2025-08-27 09:15:00+07:00,29.0,76,0.0,3,13.9,Overcast
2025-08-27 09:30:00+07:00,29.4,75,0.0,3,13.7,Overcast
2025-08-27 09:45:00+07:00,29.6,73,0.0,3,13.6,Overcast
